State,Hispanic_AnxDep,Hispanic_Insurance,COVID_Cases,COVID_Deaths,Unemployment_Claims
Connecticut,15.5976,1.5436,39834,1575,10341
Delaware,12.261,1.9976,16744,176,3001
Florida,15.8388,4.5173,677211,10367,86604
Georgia,15.5574,4.3584,129800,1283,98099
Hawaii,16.08,1.5436,0,0,12181
Idaho,13.1052,3.3823,21610,153,6941
Illinois,15.3564,2.3381,250067,6460,48480
Indiana,15.3564,1.9522,33890,258,20050
Iowa,13.3464,1.6117,39453,260,11063
Kansas,14.4318,2.8602,45971,257,27555
Kentucky,15.5574,2.4516,14513,116,28483
Louisiana,15.9594,3.1326,0,528,30369
Maine,15.7986,1.8614,738,0,2217
Maryland,13.7082,1.5663,101480,1696,13693
Massachusetts,14.3916,0.9761,103256,2473,33952
Michigan,14.7534,1.9976,32968,522,35363
Minnesota,12.7836,1.2031,50636,335,19630
Mississippi,13.3464,3.7682,9547,135,8281
Missouri,13.467,3.0418,25360,205,18925
Montana,12.3414,3.5639,1078,0,4689
Nebraska,12.864,2.6105,43200,334,4791
Nevada,16.2408,3.1326,71614,722,15365
New Hampshire,12.663,1.9068,3433,46,4683
New Jersey,15.1956,2.1792,145878,12591,38381
New Mexico,15.6378,2.5878,42460,582,7424
New York,13.8288,1.6344,0,26975,117680
North Carolina,12.9846,3.4731,156434,985,25156
North Dakota,11.8992,2.9964,0,0,1486
Ohio,14.9946,2.2927,29470,360,34870
Oklahoma,15.5172,4.767,40254,206,11370
Oregon,15.4368,2.2473,39871,200,9552
Pennsylvania,14.3514,2.5651,42835,1785,47068
Rhode Island,13.7484,1.6117,29696,378,6429
South Carolina,12.2208,3.3823,37267,350,9593
South Dakota,9.7284,2.3835,5301,20,1255
Tennessee,15.4368,3.0872,86533,466,23015
Texas,14.9142,5.5615,74671,25282,105129
Utah,13.8288,2.4062,73156,351,5031
Vermont,12.864,1.6344,230,0,1350
Virginia,14.1504,2.043,118913,1062,20021
Washington,14.9544,1.6798,85153,1035,41505
West Virginia,13.869,2.6786,0,0,3819
Wisconsin,11.6982,1.9749,65162,520,23884
Wyoming,14.3112,4.2676,1947,8,1734
Alabama,16.002,3.1098,28822,255,13934
Alaska,14.112,2.8689,1498,3,5774
Arizona,16.38,3.3507,249073,6336,16497
Arkansas,17.262,2.3871,55106,289,7799
California,16.422,2.5404,1199446,26101,365092
Colorado,15.414,2.4966,90753,1727,8617
Connecticut,15.162,2.0586,41667,1588,7884
Delaware,13.986,1.6206,17417,184,2529
Florida,15.288,3.7011,740668,12045,60268
Georgia,14.406,4.599,145711,1491,70839
Hawaii,16.548,2.4528,0,0,11572
Idaho,14.826,2.4747,24501,187,5846
Illinois,15.792,2.0367,269748,6620,41943
Indiana,13.902,2.4747,36624,275,19676
Iowa,13.44,1.314,40777,271,7653
Kansas,13.65,3.285,50597,279,22504
Kentucky,16.926,1.8177,16134,126,13978
Louisiana,17.514,3.0222,0,526,30220
Maine,14.154,2.19,769,0,2092
Maryland,14.868,1.6206,101290,1747,11967
Massachusetts,13.734,1.3359,109055,2545,29049
Michigan,15.204,2.1024,34401,522,29768
Minnesota,12.852,1.4892,54617,348,17488
Mississippi,16.212,4.0953,10315,143,7028
Missouri,13.902,3.4164,28673,230,15159
Montana,13.902,2.1243,1185,0,4648
Nebraska,12.768,2.0586,45000,349,4185
Nevada,15.792,3.1974,88568,819,12875
New Hampshire,14.658,1.8615,3674,48,3694
New Jersey,14.868,2.409,150188,12634,32642
New Mexico,16.884,3.4164,46531,636,5608
New York,15.834,1.8396,0,27068,98888
North Carolina,13.524,3.1974,169061,1083,21521
North Dakota,11.046,2.1243,0,0,1260
Ohio,15.288,2.7156,32621,377,26723
Oklahoma,16.128,4.0077,46490,233,9369
Oregon,17.178,2.2119,44922,249,7791
Pennsylvania,14.574,1.8396,46670,1835,34676
Rhode Island,14.658,1.0512,30805,393,4884
South Carolina,13.272,2.1243,41090,386,7167
South Dakota,12.558,2.4309,5712,21,710
Tennessee,13.608,3.7011,93825,517,18350
Texas,16.044,5.0589,78143,30223,86695
Utah,13.986,2.3214,78447,380,3765
Vermont,14.49,1.6206,234,0,1030
Virginia,13.986,1.6644,126765,1124,16463
Washington,14.868,2.2776,91205,1109,35145
West Virginia,16.128,1.9929,0,0,3088
Wisconsin,13.146,1.4892,70150,556,18702
Wyoming,14.112,4.5114,2210,8,1150
