State,Hispanic_AnxDep,Hispanic_Insurance,COVID_Cases,COVID_Deaths,Unemployment_Claims
South Dakota,11.3146,2.35,1340,0,3155
Tennessee,13.2275,3.807,4561,25,22898
Texas,14.1636,5.734,11236,240,112192
Utah,12.3321,3.431,5258,0,4986
Vermont,12.0472,1.87,47,0,1608
Virginia,13.1054,2.021,16842,154,35975
Washington,13.431,1.5275,8505,164,81238
West Virginia,13.9601,2.7495,0,0,4256
Wisconsin,11.396,2.491,7232,65,25823
Wyoming,11.396,2.5615,137,0,2187
Alabama,11.952,3.3354,2312,24,21109
Alaska,15.106,2.8558,77,0,6687
Arizona,14.7325,4.36,6109,244,20949
Arkansas,14.027,2.5942,868,6,8274
California,15.023,2.5506,67192,2592,185098
Colorado,13.9025,2.943,16906,500,12102
Connecticut,11.62,1.4606,14032,629,13205
Delaware,12.9065,2.8122,4696,46,3301
Florida,16.2265,3.052,33289,948,164193
Georgia,15.5625,3.2482,9267,138,134855
Hawaii,11.039,1.1554,0,0,7218
Idaho,10.292,2.7468,949,8,3588
Illinois,14.774,2.4198,64661,1751,44849
Indiana,14.608,2.3326,6702,54,20759
Iowa,10.7485,0.9156,8599,41,8645
Kansas,13.778,2.8776,7265,29,9111
Kentucky,14.4005,1.635,1645,16,41465
Louisiana,17.181,2.2018,0,94,18555
Maine,11.537,1.9838,108,0,11922
Maryland,13.114,1.4824,21536,369,28292
Massachusetts,12.2425,1.1336,32161,771,28269
Michigan,13.612,1.6132,6460,205,44513
Minnesota,10.8315,2.2454,6487,36,20942
Mississippi,15.687,5.6026,1377,16,20516
Missouri,13.6535,2.5942,1740,26,20608
Montana,12.7405,2.1146,37,0,2946
Nebraska,11.6615,2.18,0,0,4669
Nevada,16.8905,3.0738,3453,110,11547
New Hampshire,12.9065,1.2426,426,7,5740
New Jersey,12.9065,2.8122,48833,4056,26212
New Mexico,16.2265,2.1146,2981,0,5884
New York,14.276,1.5696,0,11375,116582
North Carolina,13.4045,2.3108,10096,63,34821
North Dakota,11.6615,2.9212,0,0,2268
Ohio,14.359,1.5696,4004,57,33284
Oklahoma,13.612,3.052,2128,13,44610
Oregon,14.6495,1.8748,2324,24,21007
Pennsylvania,14.0685,2.2454,0,510,41846
Rhode Island,14.027,0.7738,6956,107,2436
South Carolina,13.363,3.6188,1508,14,18981
South Dakota,15.0645,1.9184,1511,0,2130
Tennessee,13.7365,2.9648,6511,35,20440
Texas,15.6455,4.5562,11508,241,100455
Utah,13.2385,2.4416,6138,0,4437
Vermont,11.952,2.063333333,51,0,1293
Virginia,13.7365,2.2454,21518,180,30266
Washington,13.197,1.7222,9864,172,34871
West Virginia,15.7285,3.1392,0,0,4110
Wisconsin,11.9935,1.2208,9194,87,22983
Wyoming,11.7445,2.8558,147,0,2238
Alabama,14.3625,3.348,2992,24,17693
Alaska,12.1028,2.852,79,0,6228
Arizona,12.4858,3.3976,8287,273,19877
Arkansas,14.937,2.728,1704,8,7776
California,14.7838,3.2488,80665,2928,207630
Colorado,12.8688,2.728,18762,548,10979
Connecticut,13.4433,1.984,14750,674,12675
Delaware,11.6049,1.3144,5141,46,2610
Florida,15.32,4.96,37725,1052,137086
Georgia,13.3667,4.96,11321,164,121893
Hawaii,9.9963,2.1824,0,0,6446
Idaho,12.1794,4.1912,1163,8,3257
Illinois,14.171,3.1,73076,2034,38996
Indiana,13.8646,2.3064,7541,66,19648
Iowa,12.6007,1.116,9896,61,6830
Kansas,12.256,3.3976,8155,42,7838
Kentucky,14.937,2.3808,1920,19,35891
Louisiana,13.9029,2.5048,0,102,17663
Maine,11.2219,1.984,122,0,6115
Maryland,11.7964,2.0088,25333,444,31569
Massachusetts,11.4517,0.7688,35091,836,31188
Michigan,13.2135,2.4552,7909,215,28768
Minnesota,11.49,1.4136,9163,47,21414
Mississippi,14.8221,6.3488,1662,19,19413
Missouri,12.9071,3.1248,2087,30,17382
Montana,10.9538,1.9592,40,0,2628
Nebraska,10.1878,3.1,0,0,4191
Nevada,13.0986,4.5632,4373,128,9465
New Hampshire,12.1794,1.8104,466,8,5327
New Jersey,13.9795,2.232,52430,4325,21393
New Mexico,15.1285,3.1992,3542,0,5127
New York,13.3284,2.1824,0,11808,75640
North Carolina,12.639,4.1912,13691,88,30391
North Dakota,9.958,1.3144,0,0,1957
Ohio,14.171,2.7032,4837,74,30528
Oklahoma,14.7838,5.952,2456,19,59100
Oregon,15.1285,2.5296,2634,28,19317
Pennsylvania,13.4433,1.3392,5000,572,37421
Rhode Island,13.022,1.4384,13032,150,2685
South Carolina,13.6348,4.216,2048,13,18042
South Dakota,11.3751,3.1248,1700,0,1019
Tennessee,12.8688,3.9928,9048,45,18498
Texas,14.1327,5.9768,11796,244,84151
Utah,13.2135,2.6288,7222,0,4427
Vermont,13.5199,2.728,54,0,1335
Virginia,12.0262,2.5296,26802,239,25976
Washington,14.0561,2.4304,11568,179,26831
West Virginia,14.8987,2.9512,0,0,3899
Wisconsin,10.2261,1.5872,11634,102,21303
Wyoming,12.6007,5.456,152,0,1900
Alabama,15.0552,3.8304,3573,26,16421
Alaska,14.3616,3.3264,84,0,5948
Arizona,15.0144,3.7296,11589,339,20051
Arkansas,15.5856,3.3264,3187,12,8162
California,16.1976,2.7972,95277,3378,213111
Colorado,14.1576,2.394,20813,598,10063
Connecticut,13.3824,1.4112,15743,683,11665
Delaware,13.464,1.9152,5356,49,2380
Florida,16.6056,4.4352,43336,1198,85847
Georgia,14.5656,5.67,13613,181,114536
Hawaii,11.22,2.3184,0,0,6251
Idaho,13.056,3.2004,1401,8,3250
Illinois,16.116,2.2176,80193,2262,38271
Indiana,13.0968,2.6964,8492,78,20121
Iowa,14.2392,0.9576,11363,70,7953
Kansas,14.9328,3.024,8896,52,7092
Kentucky,15.3408,3.15,2277,25,33593
Louisiana,14.892,3.906,0,106,19286
Maine,14.4432,2.6712,136,0,2627
Maryland,10.9752,2.3184,29195,507,27926
Massachusetts,12.648,1.1088,37931,954,32380
Michigan,11.4648,2.4192,8570,228,21055
Minnesota,12.648,1.4868,11212,56,22717
Mississippi,15.6672,6.3252,1901,23,17010
Missouri,12.036,4.0068,2464,34,16637
Montana,12.4032,2.6208,55,0,2672
Nebraska,12.648,3.2256,0,0,4099
Nevada,15.708,4.3596,4722,135,9158
New Hampshire,14.3208,2.52,711,16,5457
New Jersey,13.7904,2.2176,55629,4674,21259
New Mexico,14.1576,3.3516,4286,0,4458
New York,15.7488,2.1924,0,12158,81311
North Carolina,14.7696,3.15,18439,121,28308
North Dakota,9.384,1.8144,0,0,1854
Ohio,15.0552,2.8476,5590,87,29697
Oklahoma,13.7496,5.3424,2802,21,69559
Oregon,16.524,2.3688,3096,33,21066
Pennsylvania,13.8312,1.386,10800,640,38310
Rhode Island,11.9136,1.6128,10018,138,2640
South Carolina,12.8112,5.0652,2961,19,18446
South Dakota,12.1584,1.6128,1847,0,834
Tennessee,15.504,3.4524,11886,60,17280
Texas,16.1568,7.2072,12015,294,79028
Utah,13.9128,1.9404,9111,0,4365
Vermont,13.7496,1.5624,54,0,1504
Virginia,14.892,1.5624,31863,270,24179
Washington,13.0152,2.268,13405,231,26097
West Virginia,15.8712,4.5108,0,0,3746
Wisconsin,11.5464,1.5372,13516,128,21681
Wyoming,11.9952,4.788,163,1,1522
Alabama,15.0876,4.2312,4574,36,15873
Alaska,14.454,4.2558,93,0,5809
Arizona,13.1868,3.1242,16720,427,20702
Arkansas,15.444,2.7798,4851,18,8164
California,15.0084,2.952,113853,3822,225393
Colorado,13.266,1.7466,22238,658,8741
Connecticut,15.3252,1.9434,16333,704,9541
Delaware,13.7412,1.4514,5802,54,2277
Florida,16.5528,4.674,51543,1356,78785
Georgia,14.6916,6.0024,16362,222,110452
Hawaii,13.9788,1.44845,0,0,6183
Idaho,11.0088,3.69,1588,11,3393
Illinois,13.7016,2.0664,84671,2461,38987
Indiana,15.5628,2.46,9137,85,22863
Iowa,12.5136,1.108866667,12569,82,7404
Kansas,14.6916,3.444,9569,59,7485
Kentucky,12.6324,2.583,2719,30,26784
Louisiana,17.226,3.8868,0,118,18277
Maine,15.0084,2.5338,150,0,2539
Maryland,15.1668,3.6654,32744,578,24021
Massachusetts,11.5632,1.23,39645,1025,25893
Michigan,12.8304,2.1648,9185,239,17543
Minnesota,12.078,1.6482,13097,75,19364
Mississippi,14.85,5.7564,2112,28,14416
